	sample	Time	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
34	Rice straw	1	ContRs1_5	bacteria_odb10	33.1	31.5	1.6	26.6	40.3	124	1447	1447	0.00%	2688	55.43	7.8	Gradient Boost (General Model)	11	0.881	1447	212.6550622	4065899	0.63	5630	None	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__JACCYX01;s__											d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__JACCYX01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		33.31	11	0.9738	Genome has more than 13.3% of markers with multiple hits	5612	4682	2599	class	0.83	0.69	0.67	0.65	4.02	0.64	0.44	FALSE	2688	2688	8	2	1	1	4065899	4065899	108780	71753	60485	60485	2688	60485	4065899	62.67	1447	1064	2616.5	969	2294	0
35	Rice straw	1	ContRs1_6	bacteria_odb10	79	78.2	0.8	10.5	10.5	124	5816	5816	0.00%	836	83.14	2.29	Neural Network (Specific Model)	11	0.926	5816	282.9866698	3911521	0.7	4276	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus kroppenstedtii	GCF_900111805.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus kroppenstedtii	97.76	0.804							ani_screen	classification based on ANI only	"GCF_001894765.1, s__Rhodococcus corynebacterioides, 95.0, 91.75, 0.717; GCF_019834675.1, s__Rhodococcus corynebacterioides_A, 95.0, 90.12, 0.646; GCF_000686025.1, s__Rhodococcus sp000686025, 95.0, 84.3, 0.15"					4259	4195	836	genus	0.94	0.93	0.95	0.02	0.05	0.96	0.89	FALSE	836	836	243	62	6	1	3911521	3911521	2236438	977997	221517	59615	836	59615	3911521	70.32	5816	2245	8775.1	191	625	0
36	Rice straw	1	ContRs1_8	bacteria_odb10	64.5	62.9	1.6	11.3	24.2	124	18566	18566	0.00%	299	92.65	2.48	Neural Network (Specific Model)	11	0.928	18566	308.7852208	3318090	0.69	3329	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__						GCF_001620065.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp001620065	90.86	0.804	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_950097975.1, s__Microbacterium sp950097975, 95.0, 81.63, 0.185; GCF_029202445.1, s__Microbacterium phytovorans, 95.0, 81.23, 0.174"	66.91	11	0.99706	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	3326	3241	299	kingdom	1	0.97	0	0	0	0.91	0.89	TRUE	299	299	185	107	33	6	3318090	3318090	2965102	2407756	1236631	381883	299	92315	3318090	69.38	18566	4917	23783.7	53	190	0
37	Rice straw	1	ContRs1_9	bacteria_odb10	81.5	81.5	0	5.6	12.9	124	6143	6143	0.00%	857	84.52	1.5	Gradient Boost (General Model)	11	0.907	6143	304.9198113	4271684	0.44	4240	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pararcticibacter;s__						GCF_003130405.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pararcticibacter;s__Pararcticibacter amylolyticus	93.12	0.807	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pararcticibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		79.76	11	0.9967	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	4207	3936	857	order	0.97	0.91	0.27	0.2	0.55	0.68	0.62	TRUE	857	857	299	73	2	0	4271684	4271684	2574397	1009283	68680	0	857	41834	4271684	44.43	6143	2569	7632.8	220	650	0
38	Rice straw	1	FBaNitRs1_10	bacteria_odb10	73.4	72.6	0.8	7.3	19.3	124	14780	14780	0.00%	421	83.93	3.57	Gradient Boost (General Model)	11	0.917	14780	310.7436568	3878696	0.72	3823	None	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Patulibacter;s__						GCA_015478825.1	95	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Patulibacter;s__Patulibacter sp015478825	86.23	0.385	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Patulibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		81.45	11	0.9825		3825	3602	418	genus	0.75	0.71	0.39	0.22	0.62	0.68	0.48	TRUE	421	421	241	117	28	4	3878696	3878696	3346409	2455120	1069981	237210	421	68129	3878696	71.76	14780	4248	19588.7	74	273	0
39	Rice straw	1	FBaNitRs1_12	bacteria_odb10	56.5	56.5	0	14.5	29	124	2934	2934	0.00%	1123	65.46	0.95	Gradient Boost (General Model)	11	0.865	2934	272.3234597	3184863	0.72	3376	None	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__;s__											d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		64.65	11	0.77804		3365	2714	1109	order	0.55	0.45	0.39	0.24	0.69	0.57	0.25	TRUE	1123	1123	87	4	0	0	3184863	3184863	580225	50057	0	0	1123	15519	3184863	72.41	2934	1734	3592.7	360	926	0
40	Rice straw	1	FBaNitRs1_13	bacteria_odb10	67.7	67.7	0	17.7	14.6	124	9728	9728	0.00%	430	86.71	0.38	Neural Network (Specific Model)	11	0.904	9728	292.5916176	2797896	0.71	2887	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__						GCA_023391775.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas sp023391775	88.71	0.46	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_000185965.1, s__Pseudoxanthomonas suwonensis_A, 95.0, 88.46, 0.62; GCF_000510725.1, s__Pseudoxanthomonas sp000510725, 95.0, 88.45, 0.6; GCF_010093235.1, s__Pseudoxanthomonas suwonensis, 95.0, 87.98, 0.579; GCF_010093185.1, s__Pseudoxanthomonas jiangsuensis, 95.0, 86.42, 0.418; GCF_000513955.1, s__Pseudoxanthomonas suwonensis_C, 95.0, 86.04, 0.389; GCF_000513995.1, s__Pseudoxanthomonas sp000513995, 95.0, 85.93, 0.391; GCF_000972865.1, s__Pseudoxanthomonas suwonensis_B, 95.0, 85.68, 0.324; GCF_010093135.1, s__Pseudoxanthomonas taiwanensis, 95.0, 85.45, 0.359; GCF_014202435.1, s__Pseudoxanthomonas broegbernensis, 95.0, 85.16, 0.318; GCF_010211765.1, s__Pseudoxanthomonas kaohsiungensis, 95.0, 85.14, 0.329; GCA_025232375.1, s__Pseudoxanthomonas sp025232375, 95.0, 84.84, 0.31; GCA_017745195.1, s__Pseudoxanthomonas sp017745195, 95.0, 84.73, 0.279; GCF_010093225.1, s__Pseudoxanthomonas koreensis, 95.0, 84.73, 0.276; GCF_010093205.1, s__Pseudoxanthomonas daejeonensis, 95.0, 84.32, 0.283; GCF_014851915.1, s__Pseudoxanthomonas sp014851915, 95.0, 84.0, 0.255; GCA_017302035.1, s__Pseudoxanthomonas sp017302035, 95.0, 83.66, 0.209; GCA_018060215.1, s__Pseudoxanthomonas sp018060215, 95.0, 83.39, 0.216"	73.84	11	0.98684	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	2895	2842	430	kingdom	1	0.98	0	0	0	0.84	0.83	TRUE	430	430	202	86	8	0	2797896	2797896	2139875	1352585	239403	0	430	35949	2797896	71.44	9728	2951	11395	91	300	0
41	Rice straw	1	FBaNitRs1_14	bacteria_odb10	76.6	72.6	4	8.9	14.5	124	5334	5334	0.00%	939	80.97	3.31	Gradient Boost (General Model)	11	0.915	5334	280.5539471	4060672	0.73	4421	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__						GCF_003260015.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__Nakamurella deserti	87.04	0.356	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		67.19	11	0.97858		4410	4085	939	genus	0.53	0.49	0.28	0.23	0.64	0.67	0.33	TRUE	939	939	249	64	1	0	4060672	4060672	2158797	881071	30458	0	939	30458	4060672	72.76	5334	2141	6858	225	713	0
42	Rice straw	1	FBaNitRs1_17	bacteria_odb10	58.1	58.1	0	12.1	29.8	124	4778	4778	0.00%	579	75.66	1.05	Gradient Boost (General Model)	11	0.922	4778	259.4477504	2322371	0.65	2756	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	GCF_001463885.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	98.08	0.968							ani_screen	classification based on ANI only	"GCF_023702225.1, s__Aureimonas altamirensis_B, 95.0, 90.08, 0.726; GCF_014844055.1, s__Aureimonas altamirensis_A, 95.0, 92.05, 0.812"					2760	2724	579	kingdom	1	0.99	0	0	0	0.91	0.9	TRUE	579	579	132	30	0	0	2322371	2322371	1064085	394585	0	0	579	18966	2322371	65.4	4778	2069	5995.9	152	448	0
43	Rice straw	1	FBaNitRs1_18	bacteria_odb10	73.4	73.4	0	16.1	10.5	124	4347	4347	0.00%	958	86.07	5.19	Gradient Boost (General Model)	11	0.872	4347	280.4092112	3640499	0.69	3778	None	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__CADCWK01;s__											d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__CADCWK01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		76.92	11	0.95299		3781	3149	945	phylum	0.89	0.74	0.21	0.54	2.12	0.53	0.39	TRUE	958	958	198	32	0	0	3640499	3640499	1497017	398401	0	0	958	20360	3640499	68.58	4347	2035	5352.6	268	751	0
44	Rice straw	1	FBaNitRs1_19	bacteria_odb10	54	54	0	17.7	28.3	124	4385	4385	0.00%	783	87.2	1.27	Gradient Boost (General Model)	11	0.927	4385	262.1724337	2935817	0.68	3468	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus marcusii	GCF_028621715.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus marcusii	97.84	0.817							ani_screen	classification based on ANI only	"GCF_003056335.1, s__Paracoccus indicus, 95.0, 85.68, 0.261; GCF_000420145.1, s__Paracoccus zeaxanthinifaciens, 95.0, 85.81, 0.234; GCF_030604785.1, s__Paracoccus sp030604785, 95.0, 85.64, 0.218; GCF_019431455.1, s__Paracoccus bogoriensis, 95.0, 85.1, 0.164; GCF_900102505.1, s__Paracoccus tibetensis, 95.0, 84.99, 0.185; GCF_026162645.1, s__Paracoccus rhizosphaerae, 95.0, 86.12, 0.259; GCF_009708075.1, s__Paracoccus lichenicola, 95.0, 84.83, 0.155; GCF_026162625.1, s__Paracoccus beibuensis, 95.0, 86.06, 0.262; GCF_003259195.1, s__Paracoccus sediminilitoris, 95.0, 86.3, 0.284; GCA_003255745.1, s__Paracoccus saliphilus_A, 95.0, 86.07, 0.277; GCF_004335005.1, s__Paracoccus nototheniae, 95.0, 86.25, 0.305; GCF_005048225.1, s__Paracoccus gahaiensis, 95.0, 87.2, 0.377; GCF_004683865.2, s__Paracoccus liaowanqingii, 95.0, 87.57, 0.41; GCF_028553885.1, s__Paracoccus aestuarii, 95.0, 87.83, 0.411; GCF_017315735.1, s__Paracoccus shandongensis, 95.0, 84.96, 0.151; GCF_001887735.1, s__Paracoccus sp001887735, 95.0, 86.68, 0.294; GCF_018860625.1, s__Paracoccus sp018860625, 95.0, 85.39, 0.214; GCF_005048265.1, s__Paracoccus hibiscisoli, 95.0, 89.58, 0.545; GCF_003709565.1, s__Paracoccus siganidrum, 95.0, 84.6, 0.162; GCF_000787695.1, s__Paracoccus sp000787695, 95.0, 91.65, 0.741"					3488	3458	783	kingdom	1	0.99	0	0	0	0.97	0.96	TRUE	783	783	164	17	0	0	2935817	2935817	1193304	223570	0	0	783	20909	2935817	68.35	4385	2022	5190.4	223	617	0
45	Rice straw	1	FBaNitRs1_2	bacteria_odb10	74.2	64.5	9.7	10.5	15.3	124	32415	32415	0.00%	336	90.88	8.81	Neural Network (Specific Model)	11	0.859	32415	315.0495611	6006827	0.7	5468	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__						GCF_000341085.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis ganjiahuensis	90.36	0.626	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_024134545.1, s__Nocardiopsis exhalans, 95.08, 88.27, 0.496; GCF_014201115.1, s__Nocardiopsis metallicus, 95.0, 87.98, 0.496; GCF_000341265.1, s__Nocardiopsis prasina, 95.0, 86.79, 0.431; GCA_018388625.1, s__Nocardiopsis eucommiae, 95.0, 86.72, 0.411; GCF_014651695.1, s__Nocardiopsis terrae, 95.0, 86.5, 0.41; GCF_020741345.1, s__Nocardiopsis listeri_A, 95.0, 83.94, 0.246; GCF_018207095.1, s__Nocardiopsis sp018207095, 95.0, 83.7, 0.275; GCF_000341225.1, s__Nocardiopsis alba, 95.0, 83.41, 0.272; GCF_900143625.1, s__Nocardiopsis sp900143625, 95.0, 83.19, 0.272; GCF_001570765.1, s__Nocardiopsis listeri, 95.0, 82.73, 0.263; GCF_012396365.1, s__Nocardiopsis alborubida, 95.0, 82.61, 0.196; GCA_000340945.1, s__Nocardiopsis synnemataformans, 95.0, 82.54, 0.184; GCF_000341065.1, s__Nocardiopsis halotolerans, 95.0, 82.54, 0.169; GCF_026642255.1, s__Nocardiopsis nanhaiensis_A, 95.0, 82.47, 0.221; GCF_001905145.1, s__Nocardiopsis sp001905145, 95.0, 82.46, 0.202; GCF_001279585.1, s__Nocardiopsis sp001279585, 95.0, 82.46, 0.171; GCF_013410755.1, s__Nocardiopsis aegyptia, 95.0, 82.42, 0.177; GCF_000092985.1, s__Nocardiopsis dassonvillei, 95.0, 82.37, 0.198; GCA_002529455.1, s__Nocardiopsis fusca, 95.0, 82.28, 0.192; GCF_009830945.1, s__Nocardiopsis sp009830945, 95.0, 82.18, 0.176; GCF_000341005.1, s__Nocardiopsis alkaliphila, 95.0, 82.16, 0.215; GCF_030555055.1, s__Nocardiopsis sp030555055, 95.0, 82.11, 0.176; GCF_003634495.1, s__Nocardiopsis sp003634495, 95.0, 82.08, 0.178; GCF_008638415.1, s__Nocardiopsis sinuspersici, 95.0, 82.03, 0.188; GCF_008638365.1, s__Nocardiopsis quinghaiensis, 95.0, 81.99, 0.193; GCF_900141985.1, s__Nocardiopsis flavescens, 95.0, 81.95, 0.169; GCF_018316655.1, s__Nocardiopsis changdeensis, 95.0, 81.83, 0.163; GCF_003386285.1, s__Nocardiopsis sp003386285, 95.0, 81.65, 0.165; GCF_028882275.1, s__Nocardiopsis sp028882275, 95.0, 81.56, 0.153"	68.24	11	0.99238	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 12.5% of markers with multiple hits	5439	5239	334	kingdom	1	0.96	0	0	0	0.86	0.83	TRUE	336	336	226	177	84	24	6006827	6006827	5754164	5400388	3740039	1706844	336	169382	6006827	70.07	32415	9473	40404	58	178	0
46	Rice straw	1	FBaNitRs1_20	bacteria_odb10	77.4	77.4	0	12.9	9.7	124	9264	9264	0.00%	554	93.21	1.36	Gradient Boost (General Model)	11	0.897	9264	272.1510507	3672427	0.62	4045	None	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__											d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		83.02	11	0.92035		4000	3584	553	order	0.72	0.65	0.3	0.16	0.39	0.66	0.42	TRUE	554	554	259	99	12	1	3672427	3672427	2821522	1695543	387219	52302	554	52302	3672427	61.77	9264	2976	12281.3	114	387	0
47	Rice straw	1	FBaNitRs1_21	bacteria_odb10	62.9	59.7	3.2	14.5	22.6	124	5821	5821	0.00%	665	77.49	5.83	Neural Network (Specific Model)	11	0.905	5821	299.9990961	3294129	0.45	3319	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium griseoflavum	GCF_014653155.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium griseoflavum	98.27	0.926							ani_screen	classification based on ANI only						3262	3115	665	kingdom	1	0.95	0	0	0	0.78	0.75	TRUE	665	665	215	59	2	0	3294129	3294129	1932501	895999	60782	0	665	35750	3294129	45.03	5821	2552	8107.6	163	507	0
48	Rice straw	1	FBaNitRs1_23	bacteria_odb10	75	75	0	3.2	21.8	124	10845	10845	0.00%	476	88.49	2.63	Neural Network (Specific Model)	11	0.906	10845	310.3394794	3784929	0.54	3688	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__UBA5868;s__						GCA_023416875.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__UBA5868;s__UBA5868 sp023416875	93.36	0.788	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__UBA5868;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_024707385.1, s__UBA5868 sp024707385, 95.0, 81.87, 0.192"	77.04	11	0.99302	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	3669	3398	475	class	0.93	0.86	0.21	0.04	0.09	0.62	0.53	TRUE	476	476	271	133	9	0	3784929	3784929	3117258	2127152	300325	0	476	45005	3784929	54.02	10845	3810	12857.3	111	337	0
49	Rice straw	1	FBaNitRs1_24	bacteria_odb10	62.9	60.5	2.4	12.1	25	124	2788	2788	0.00%	819	64.49	2.46	Gradient Boost (General Model)	11	0.918	2788	251.3111849	2220583	0.72	2709	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Avipropionibacterium;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Avipropionibacterium;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		58.11	11	0.89285		2693	2523	816	order	0.89	0.83	0.24	0.32	0.96	0.65	0.54	TRUE	819	819	43	4	0	0	2220583	2220583	309930	48186	0	0	819	15591	2220583	72.35	2788	1696	3455.3	268	681	0
50	Rice straw	1	FBaNitRs1_25	bacteria_odb10	98.4	97.6	0.8	1.6	0	124	196208	196208	0.00%	86	99.46	0	Gradient Boost (General Model)	11	0.886	196208	313.6859879	4205539	0.64	3968	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__											d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		98.49	11	0.9434		3997	3806	86	family	0.82	0.78	0.13	0.25	0.75	0.67	0.53	TRUE	86	86	69	56	36	19	4205539	4205539	4152797	4050235	3713318	3156555	86	492725	4205539	64.47	196208	21621	197131.3	8	40	0
51	Rice straw	1	FBaNitRs1_26	bacteria_odb10	78.2	75.8	2.4	12.1	9.7	124	5612	5612	0.00%	721	89.12	3.7	Gradient Boost (General Model)	11	0.895	5612	276.2698642	3196463	0.66	3461	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia;s__Nesterenkonia stercoripullorum	GCA_019114115.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia;s__Nesterenkonia stercoripullorum	95.2	0.719							ani_screen	classification based on ANI only						3470	3247	717	genus	0.73	0.68	0.63	0.2	0.52	0.72	0.49	FALSE	721	721	208	52	0	0	3196463	3196463	1753729	672621	0	0	721	22585	3196463	65.52	5612	2189	6712.1	179	545	0
